,Date,HPA,HPD,Cie,Ligne,Esc 1,Immat,Type app,PKG,Remarque,Comment,Terminal,DATETIME,Graph_intervale,Brigade
0,2022-04-09,,07:15:00,DAH,4000,TUN,7TVKD,B738,P18,DECOLLE 07:45,MEP/RECH BAG-PX 102 ,T4,2022-04-09 07:15:00,"[6190, 6200]",Nuit
1,2022-04-09,,07:30:00,DTH,1400,RNS,7TVCL,DH8D,PA1,DECOLLE 07:35,,T2,2022-04-09 07:30:00,"[6209, 6211]",Nuit
2,2022-04-09,,07:30:00,DTH,1408,RNS,7TVCR,DH8D,PA1,DECOLLE 07:44,06PX,T2,2022-04-09 07:30:00,"[6209, 6211]",Nuit
3,2022-04-09,,08:00:00,DAH,6258,CZL,7TVUK,ATR72,PA1,DECOLLE 08:00,45PX,T2,2022-04-09 08:00:00,"[6239, 6241]",Journee
4,2022-04-09,,08:00:00,DTH,2320,AZR,7TVCE,B738,PA1,DECOLLE 08:07,C//,T2,2022-04-09 08:00:00,"[6239, 6241]",Journee
5,2022-04-09,,08:15:00,DAH,6170,AAE,7TVUM,ATR72,PA1,DECOLLE 08:10,48PX,T2,2022-04-09 08:15:00,"[6254, 6256]",Journee
6,2022-04-09,,08:45:00,DAH,6180,ORN,7TVUT,ATR72,PA1,DECOLLE 08:35,27PX,T2,2022-04-09 08:45:00,"[6284, 6286]",Journee
7,2022-04-09,,08:45:00,DTH,1154,HME,7TVCD,B738,P10C,DECOLLE 08:52,62PX,T2,2022-04-09 08:45:00,"[6284, 6286]",Journee
8,2022-04-09,,08:50:00,DAH,6342,OGX,7TVKC,B738,P12,DECOLLE 08:57,102PX,T2,2022-04-09 08:50:00,"[6289, 6291]",Journee
9,2022-04-09,,09:00:00,DTH,1516,HRM,7TVCT,B738,PA1,DECOLLE 09:05,C//44PX,T2,2022-04-09 09:00:00,"[6299, 6301]",Journee
10,2022-04-09,09:10:00,,DAH,6027,CZL,7TVJN,B738,PA1,ARRIVE 09:10,130PX,T2,2022-04-09 09:10:00,"[6309, 6311]",Journee
11,2022-04-09,09:10:00,,DAH,6223,HME,7TVUW,ATR72,PA1,ARRIVE 09:05,PX56,T2,2022-04-09 09:10:00,"[6309, 6311]",Journee
12,2022-04-09,,09:10:00,DAH,1010,ORY,7TVJZ,A330,P20,DECOLLE 09:25,MEP/233PX,T4,2022-04-09 09:10:00,"[6305, 6315]",Journee
13,2022-04-09,,09:10:00,DTH,1326,AAE,7TVCF,B738,PA1,DECOLLE 09:08,39PX,T2,2022-04-09 09:10:00,"[6309, 6311]",Journee
14,2022-04-09,09:15:00,,DAH,6007,AAE,7TVKL,B738,PA1,ARRIVE 09:20,147PX,T2,2022-04-09 09:15:00,"[6314, 6316]",Journee
15,2022-04-09,09:15:00,,DAH,6107,ORN,TVJS,B736,PA1,ARRIVE 09:05,52PX,T2,2022-04-09 09:15:00,"[6314, 6316]",Journee
16,2022-04-09,,09:15:00,DAH,6520,ELG,7TVUQ,ATR72,PA1,DECOLLE 09:20,41PX,T2,2022-04-09 09:15:00,"[6314, 6316]",Journee
17,2022-04-09,09:20:00,,FPO,161,CDG,,B738,P15,ARRIVE 09:16,131PX,T4,2022-04-09 09:20:00,"[6315, 6325]",Journee
18,2022-04-09,09:45:00,,DAH,6201,GHA,7TVUQ,ATR72,PA1,ARRIVE 09:35,27PX,T2,2022-04-09 09:45:00,"[6344, 6346]",Journee
19,2022-04-09,09:45:00,,DTH,1993,BJA,7TVCB,B738,PA1,ARRIVE 09:15,,T2,2022-04-09 09:45:00,"[6344, 6346]",Journee
20,2022-04-09,,10:00:00,DAH,6238,TMR,7TVKA,B738,P9,DECOLLE 10:12,134PX,T2,2022-04-09 10:00:00,"[6359, 6361]",Journee
21,2022-04-09,,10:00:00,DTH,1200,TFT,7TVCM,DH8D,PA1,DECOLLE 10:00,25PX,T2,2022-04-09 10:00:00,"[6359, 6361]",Journee
22,2022-04-09,,10:00:00,DTH,1840,CZL,7TVCC,B738,PA1,DECOLLE 10:10,95PX,T2,2022-04-09 10:00:00,"[6359, 6361]",Journee
23,2022-04-09,,10:10:00,DAH,2700,YUL,7TVJV,A330,P25B,DECOLLE 10:14,MEP/215/PX,T4,2022-04-09 10:10:00,"[6365, 6375]",Journee
24,2022-04-09,,10:15:00,DAH,6032,TEE,7TVUW,ATR72,PA1,DECOLLE 10:13,55PX,T2,2022-04-09 10:15:00,"[6374, 6376]",Journee
25,2022-04-09,,10:20:00,FPO,162,CDG,,B738,P15,DECOLLE 10:14,,T4,2022-04-09 10:20:00,"[6375, 6385]",Journee
26,2022-04-09,,10:20:00,DAH,6142,AZR,7TVJT,B736,P11A,DECOLLE 10:26,A TRACTE/100PX,T2,2022-04-09 10:20:00,"[6379, 6381]",Journee
27,2022-04-09,,10:25:00,DAH,3016,IST,7TVKO,B738,P14,DECOLLE 10:22,MEP/39PX,T4,2022-04-09 10:25:00,"[6380, 6390]",Journee
28,2022-04-09,,10:30:00,DAH,2024,FCO,7TVKR,B738,P19,DECOLLE 10:50,MEP/57PX/RETOUR AU PRL A 10h35,T4,2022-04-09 10:30:00,"[6385, 6395]",Journee
29,2022-04-09,,10:30:00,DAH,6156,TMX,7TVJR,B736,PA1,DECOLLE 10:39,A TRACTE/72PX,T2,2022-04-09 10:30:00,"[6389, 6391]",Journee
30,2022-04-09,,10:30:00,DAH,6042,BSK,7TVJL,B738,P12,DECOLLE 10:47,A TRACTE/100PX,T2,2022-04-09 10:30:00,"[6389, 6391]",Journee
31,2022-04-09,,10:35:00,DAH,6252,ELU,7TVUO,ATR72,PA1,DECOLLE 10:44,62PX,T2,2022-04-09 10:35:00,"[6394, 6396]",Journee
32,2022-04-09,10:50:00,,AFR,4144,CDG,,B777,P23B,ARRIVE 11:31,471PX,T4,2022-04-09 10:50:00,"[6405, 6415]",Journee
33,2022-04-09,10:50:00,,DAH,4001,TUN,7TVKD,B738,P18,ARRIVE 10:54,138PX,T4,2022-04-09 10:50:00,"[6405, 6415]",Journee
34,2022-04-09,,11:00:00,DAH,6132,CBH,7TVVR,ATR72,PA1,DECOLLE 11:05,49PX,T2,2022-04-09 11:00:00,"[6419, 6421]",Journee
35,2022-04-09,,11:00:00,DAH,6472,DJK,7TVKB,B738,P10C,DECOLLE 11:07,A TRACTE/123PX,T2,2022-04-09 11:00:00,"[6419, 6421]",Journee
36,2022-04-09,11:05:00,,DLH,1316,FRA,,A321,P16,ARRIVE 11:00,160PX,T4,2022-04-09 11:05:00,"[6420, 6430]",Journee
37,2022-04-09,11:20:00,,DTH,1401,RNS,7TVCL,DH8D,PA1,ARRIVE 10:45,,T2,2022-04-09 11:20:00,"[6439, 6441]",Journee
38,2022-04-09,11:35:00,,DAH,6171,AAE,7TVUM,ATR72,PA1,ARRIVE 11:30,65PX,T2,2022-04-09 11:35:00,"[6454, 6456]",Journee
39,2022-04-09,11:45:00,,THY,651,IST,,B777,P3B,ARRIVE 11:21,316PX,T1,2022-04-09 11:45:00,"[6461, 6469]",Journee
40,2022-04-09,,11:45:00,DAH,2046,GVA,7TVKK,B738,P17,DECOLLE 11:51,MEP/108PX,T4,2022-04-09 11:45:00,"[6460, 6470]",Journee
41,2022-04-09,,12:00:00,DAH,6292,DJG,7TVKP,B738,P9,DECOLLE 12:15,A TRACTE/123PX,T2,2022-04-09 12:00:00,"[6479, 6481]",Journee
